Time	X	Y	Arm
20.7	-1.92798	-6.16168	-1
20.8	-1.95253	-6.10085	-1
20.9	-1.92158	-6.1515	-1
21	-1.79679	-6.21363	-1
21.1	-1.67743	-6.16844	-1
21.2	-1.37948	-6.70302	-1
21.3	-1.15903	-6.99167	-1
21.4	-0.788757	-6.60621	-1
21.5	-0.769493	-6.1628	-1
21.6	-0.775448	-5.78664	-1
21.7	-0.971762	-5.47521	-1
21.8	-1.06724	-5.71362	-1
21.9	-1.16218	-5.97787	-1
22	-1.35216	-6.70629	-1
22.1	-1.17143	-7.82508	-1
22.2	-0.920175	-9.23302	-1
22.3	-0.103105	-11.0278	-1
22.4	0.215019	-12.254	-1
22.5	0.403129	-12.5296	-1
22.6	0.348519	-12.5781	-1
22.7	0.159731	-12.6171	-1
22.8	0.0535744	-12.7078	-1
22.9	-0.166065	-11.9627	-1
23	-0.467541	-11.4827	-1
23.1	-0.624863	-11.2696	-1
23.2	-1.04738	-10.862	-1
23.3	-1.07365	-10.8321	-1
23.4	-1.0937	-10.7436	-1
23.5	-0.988201	-10.7677	-1
23.6	0.0304112	-12.1582	-1
23.7	0.246033	-13.0421	-1
23.8	0.484918	-13.9167	-1
23.9	0.732611	-14.166	-1
24	0.727851	-15.1022	-1
24.1	0.678826	-15.9664	-1
24.2	0.584855	-16.4098	-1
24.3	0.0131169	-16.806	-1
24.4	-0.533181	-17.0632	-1
24.5	-0.852462	-17.1611	-1
24.6	-0.794479	-17.0301	-1
24.7	 	 	-1
24.8	 	 	-1
24.9	 	 	-1
25	 	 	-1
25.1	 	 	-1
25.2	-0.177361	-16.9448	-1
25.3	-0.222236	-16.7349	-1
25.4	-0.352017	-16.4607	-1
25.5	0.29784	-16.3952	-1
25.6	0.0929155	-14.8621	-1
25.7	-0.0920541	-14.0751	-1
25.8	-0.114342	-12.8387	-1
25.9	-0.0951613	-12.3164	-1
26	-0.00544776	-11.7051	-1
26.1	0.506096	-10.4103	-1
26.2	0.997274	-9.94472	-1
26.3	1.18379	-9.64622	-1
26.4	1.32193	-8.93877	-1
26.5	1.4336	-8.56646	-1
26.6	1.48557	-8.05945	-1
26.7	1.50062	-6.96089	-1
26.8	1.83905	-6.57883	-1
26.9	1.96517	-6.63689	-1
27	2.17608	-6.41151	-1
27.1	2.32687	-6.15253	-1
27.2	2.66192	-5.8024	-1
27.3	2.91581	-5.47108	-1
27.4	3.53268	-5.03625	-1
27.5	3.63806	-4.78192	0
27.6	3.67971	-4.32198	0
27.7	3.99287	-3.94392	0
27.8	4.34717	-3.65861	0
27.9	4.60476	-3.50841	0
28	4.79133	-3.3737	0
28.1	5.18794	-3.16138	1
28.2	5.11468	-3.3635	1
28.3	4.93773	-3.60978	0
28.4	4.70012	-3.94542	0
28.5	4.63166	-3.97758	0
28.6	4.58776	-4.01988	0
28.7	4.33263	-4.22507	0
28.8	4.32354	-4.2072	0
28.9	4.27384	-4.36954	0
29	4.17318	-4.59083	0
29.1	3.9922	-4.94087	0
29.2	3.79933	-5.03398	-1
29.3	3.25768	-4.88151	0
29.4	2.91888	-4.57508	0
29.5	2.6992	-4.75815	0
29.6	2.06639	-4.4206	0
29.7	1.83107	-4.20335	0
29.8	1.22138	-2.61217	0
29.9	0.715672	-2.07531	0
30	0.244656	-2.39427	0
30.1	-0.0766238	-2.55544	0
30.2	-0.643291	-2.66575	0
30.3	-0.940086	-2.66496	0
30.4	-1.65556	-2.40233	0
30.5	-1.86747	-2.5431	0
30.6	-1.75986	-2.66842	0
30.7	-1.8027	-2.63837	0
30.8	-2.08732	-2.4693	0
30.9	-2.14573	-2.35632	0
31	-2.50906	-2.02712	0
31.1	-2.64117	-2.09201	0
31.2	-2.88406	-1.83129	0
31.3	-2.97069	-1.70268	0
31.4	-3.25096	-1.33235	0
31.5	-3.30589	-1.29997	0
31.6	-3.44437	-1.21814	0
31.7	-3.55453	-1.03288	0
31.8	-3.58856	-0.89587	0
31.9	-4.02318	-0.653966	0
32	-4.50589	-0.903142	0
32.1	-4.66889	-0.834304	0
32.2	-4.95778	-0.685373	0
32.3	-5.04342	-0.727207	1
32.4	-5.17625	-0.644136	1
32.5	-5.04799	-0.843204	1
32.6	-5.18856	-0.776604	1
32.7	-5.24257	-0.671322	1
32.8	-5.30486	-0.597833	1
32.9	-5.39735	-0.519048	1
33	-5.41021	-0.530057	1
33.1	-5.39189	-0.523958	1
33.2	-5.47603	-0.454994	1
33.3	-5.48712	-0.509256	1
33.4	-5.45666	-0.537443	1
33.5	-5.45412	-0.526679	1
33.6	-5.47483	-0.517719	1
33.7	-5.48632	-0.505524	1
33.8	-5.50944	-0.498598	1
33.9	-5.51102	-0.515046	1
34	-5.45231	-0.52449	1
34.1	-5.45236	-0.508967	1
34.2	-5.49195	-0.456492	1
34.3	-5.59231	-0.426811	1
34.4	-6.27547	-0.149526	1
34.5	-6.77792	0.0342534	1
34.6	-7.17004	0.34364	1
34.7	-7.38522	0.213968	1
34.8	-7.93559	0.248274	1
34.9	-8.0956	0.286161	1
35	-8.29864	0.293056	1
35.1	-8.56916	0.398917	1
35.2	-8.79377	0.40195	1
35.3	-8.48919	0.243936	1
35.4	-8.14831	0.106177	1
35.5	-7.3698	-0.260404	1
35.6	-6.42963	-0.412339	1
35.7	-6.19534	-0.562379	1
35.8	-5.85331	-0.685433	1
35.9	-5.67913	-0.729978	1
36	-5.52509	-0.898687	1
36.1	-5.50968	-0.842226	1
36.2	-5.52254	-0.846354	1
36.3	-5.42191	-0.949044	1
36.4	-5.38221	-0.88952	1
36.5	-5.32622	-0.952798	1
36.6	-5.36628	-1.00614	1
36.7	-5.31322	-1.09692	1
36.8	-5.19636	-1.18512	1
36.9	-5.11916	-1.19458	1
37	-5.13448	-1.1188	1
37.1	-5.12123	-1.12871	1
37.2	-5.06227	-1.11703	1
37.3	-5.05292	-1.1059	1
37.4	-5.09686	-1.00044	1
37.5	-5.06554	-1.00748	1
37.6	-5.17421	-1.01355	1
37.7	-5.12599	-1.05118	1
37.8	-5.04791	-0.96755	1
37.9	-4.98911	-0.969481	0
38	-5.0595	-0.957365	1
38.1	-5.11179	-0.97576	1
38.2	-4.92514	-0.968406	0
38.3	-4.87412	-0.858041	0
38.4	-4.7218	-0.829906	0
38.5	-4.49538	-0.917437	0
38.6	-4.44402	-1.22197	0
38.7	-4.59853	-1.17098	0
38.8	-4.76569	-1.27642	0
38.9	-4.50373	-1.3842	0
39	-4.29807	-1.38961	0
39.1	-3.83411	-1.01951	0
39.2	-3.64822	-0.636301	0
39.3	-3.63134	-0.320752	0
39.4	-3.25414	0.843298	0
39.5	-2.79403	1.55292	0
39.6	-2.72662	1.77519	0
39.7	-2.48034	2.27481	0
39.8	-2.1987	2.79969	0
39.9	-1.90288	3.21059	0
40	-1.18762	3.63282	0
40.1	-0.93187	4.29367	0
40.2	-0.471939	5.3315	-1
40.3	0.709524	7.70887	-1
40.4	0.877307	8.68367	-1
40.5	0.753922	9.25383	-1
40.6	0.581506	9.4218	-1
40.7	0.644307	9.7747	-1
40.8	0.657553	10.2205	-1
40.9	0.53505	11.5372	-1
41	0.552754	13.8488	-1
41.1	0.794574	15.2105	-1
41.2	1.14563	18.5583	-1
41.3	1.29895	20.422	-1
41.4	0.970296	21.9623	-1
41.5	0.125952	24.9947	-1
41.6	-0.114183	27.9884	-1
41.7	0.211162	29.4537	-1
41.8	0.514059	33.9603	-1
41.9	0.38097	36.2767	-1
42	-0.432366	40.0244	-1
42.1	-0.621463	41.4602	-1
42.2	-0.166499	44.2447	-1
42.3	0.0501116	45.5898	-1
42.4	0.26059	47.2839	-1
42.5	0.123313	48.1432	-1
42.6	-0.357626	49.5384	-1
42.7	 	 	-1
42.8	 	 	-1
42.9	 	 	-1
43	 	 	-1
43.1	 	 	-1
43.2	 	 	-1
43.3	 	 	-1
43.4	 	 	-1
43.5	 	 	-1
43.6	0.407071	49.4538	-1
43.7	0.415625	48.8952	-1
43.8	0.439184	48.6829	-1
43.9	0.605419	48.4113	-1
44	0.673991	48.3823	-1
44.1	0.767764	48.5487	-1
44.2	0.748797	48.5787	-1
44.3	0.706255	48.5704	-1
44.4	0.645296	48.7389	-1
44.5	0.725744	48.6518	-1
44.6	0.762267	48.5858	-1
44.7	0.95516	48.5617	-1
44.8	1.01541	48.578	-1
44.9	1.00603	48.625	-1
45	0.981979	48.5548	-1
45.1	0.93387	48.4756	-1
45.2	0.833778	48.5502	-1
45.3	0.711111	48.7507	-1
45.4	0.631779	48.8067	-1
45.5	0.515583	48.4858	-1
45.6	0.34946	48.4121	-1
45.7	0.0260638	48.5317	-1
45.8	-0.0483245	48.7032	-1
45.9	0.0389761	48.8682	-1
46	-0.0306156	48.819	-1
46.1	0.0665138	49.3648	-1
46.2	 	 	-1
46.3	 	 	-1
46.4	 	 	-1
46.5	 	 	-1
46.6	 	 	-1
46.7	 	 	-1
46.8	 	 	-1
46.9	 	 	-1
47	 	 	-1
47.1	 	 	-1
47.2	 	 	-1
47.3	 	 	-1
47.4	 	 	-1
47.5	 	 	-1
47.6	 	 	-1
47.7	 	 	-1
47.8	 	 	-1
47.9	 	 	-1
48	 	 	-1
48.1	 	 	-1
48.2	 	 	-1
48.3	 	 	-1
48.4	 	 	-1
48.5	 	 	-1
48.6	 	 	-1
48.7	 	 	-1
48.8	 	 	-1
48.9	 	 	-1
49	 	 	-1
49.1	 	 	-1
49.2	 	 	-1
49.3	-0.432203	49.8319	-1
49.4	-0.13642	49.3765	-1
49.5	0.195638	48.6189	-1
49.6	0.234557	47.919	-1
49.7	0.72762	45.4842	-1
49.8	1.09231	43.9378	-1
49.9	1.36718	40.4493	-1
50	1.40043	38.7387	-1
50.1	1.74827	35.6321	-1
50.2	1.73081	34.1651	-1
50.3	1.28237	31.3851	-1
50.4	0.904615	29.9666	-1
50.5	0.240017	27.6039	-1
50.6	0.0371099	26.5307	-1
50.7	0.606536	24.7622	-1
50.8	0.768964	24.566	-1
50.9	0.839797	23.8801	-1
51	0.850965	23.3552	-1
51.1	1.07737	22.8858	-1
51.2	1.18075	22.61	-1
51.3	0.974484	22.0785	-1
51.4	0.868733	21.9554	-1
51.5	0.698605	21.2356	-1
