Index	RecordTime	VideoTime	MI
218	21.8	159.5	5.20161
219	21.9	159.6	7.63682
220	22	159.7	5.98238
221	22.1	159.8	7.78514
222	22.2	159.9	6.21506
223	22.3	160	7.78865
224	22.4	160.1	6.17974
225	22.5	160.2	8.70301
226	22.6	160.3	6.46112
227	22.7	160.4	6.00324
228	22.8	160.5	8.31796
229	22.9	160.6	7.79286
230	23	160.7	6.56528
231	23.1	160.8	9.90286
232	23.2	160.9	6.70366
233	23.3	161	7.01431
234	23.4	161.1	8.76846
235	23.5	161.2	9.47616
236	23.6	161.3	7.44364
237	23.7	161.4	8.38771
238	23.8	161.5	6.90098
239	23.9	161.6	8.10861
240	24	161.7	7.80926
241	24.1	161.8	9.84013
242	24.2	161.9	6.84901
243	24.3	162	7.73571
244	24.4	162.1	6.73095
245	24.5	162.2	7.71207
246	24.6	162.3	6.5879
247	24.7	162.4	7.97728
248	24.8	162.5	6.97633
249	24.9	162.6	8.86201
250	25	162.7	7.7584
251	25.1	162.8	9.7251
252	25.2	162.9	8.1096
253	25.3	163	8.86053
254	25.4	163.1	7.03326
255	25.5	163.2	8.36234
256	25.6	163.3	7.44871
257	25.7	163.4	7.52411
258	25.8	163.5	8.19721
259	25.9	163.6	8.40092
260	26	163.7	6.76334
261	26.1	163.8	8.67853
262	26.2	163.9	7.92028
263	26.3	164	8.84886
264	26.4	164.1	7.19998
265	26.5	164.2	7.92433
266	26.6	164.3	7.51815
267	26.7	164.4	7.36934
268	26.8	164.5	8.60988
269	26.9	164.6	8.77359
270	27	164.7	6.7601
271	27.1	164.8	7.97097
272	27.2	164.9	6.43444
273	27.3	165	8.17045
274	27.4	165.1	6.71671
275	27.5	165.2	7.44852
276	27.6	165.3	6.95843
277	27.7	165.4	9.30678
278	27.8	165.5	8.20069
279	27.9	165.6	9.00333
280	28	165.7	7.42431
281	28.1	165.8	10.084
282	28.2	165.9	8.94908
283	28.3	166	9.05953
284	28.4	166.1	7.05322
285	28.5	166.2	9.66902
286	28.6	166.3	7.79505
287	28.7	166.4	9.20872
288	28.8	166.5	6.92997
289	28.9	166.6	9.49962
290	29	166.7	6.95432
291	29.1	166.8	9.36944
292	29.2	166.9	6.86043
293	29.3	167	6.96809
294	29.4	167.1	7.29154
295	29.5	167.2	7.73688
296	29.6	167.3	5.62257
297	29.7	167.4	6.56277
298	29.8	167.5	8.3228
299	29.9	167.6	7.53614
300	30	167.7	6.07311
301	30.1	167.8	6.42198
302	30.2	167.9	7.21939
303	30.3	168	5.99058
304	30.4	168.1	6.52576
305	30.5	168.2	5.89255
306	30.6	168.3	4.9225
307	30.7	168.4	5.91247
308	30.8	168.5	5.29278
309	30.9	168.6	6.17379
310	31	168.7	5.48363
311	31.1	168.8	6.08317
312	31.2	168.9	4.66473
313	31.3	169	4.46542
314	31.4	169.1	5.65513
315	31.5	169.2	4.64177
316	31.6	169.3	5.37219
317	31.7	169.4	5.43655
318	31.8	169.5	4.12975
319	31.9	169.6	5.2423
320	32	169.7	4.10616
321	32.1	169.8	5.09637
322	32.2	169.9	4.41841
323	32.3	170	5.82312
324	32.4	170.1	4.92361
325	32.5	170.2	4.92384
326	32.6	170.3	6.04329
327	32.7	170.4	5.09993
328	32.8	170.5	6.31387
329	32.9	170.6	7.03023
330	33	170.7	5.3981
331	33.1	170.8	6.35483
332	33.2	170.9	4.57767
333	33.3	171	5.38308
334	33.4	171.1	5.14005
335	33.5	171.2	7.21282
336	33.6	171.3	5.76965
337	33.7	171.4	5.85996
338	33.8	171.5	6.81402
339	33.9	171.6	6.12453
340	34	171.7	7.94204
341	34.1	171.8	8.3442
342	34.2	171.9	6.09005
343	34.3	172	8.12113
344	34.4	172.1	6.63423
345	34.5	172.2	7.58365
