121
-140	0.99986
-139	0.99984
-138	0.99981
-137	0.99978
-136	0.99975
-135	0.99971
-134	0.99966
-133	0.9996
-132	0.99954
-131	0.99947
-130	0.99938
-129	0.99928
-128	0.99917
-127	0.99903
-126	0.99888
-125	0.9987
-124	0.99849
-123	0.99824
-122	0.99796
-121	0.99764
-120	0.99726
-119	0.99682
-118	0.9963
-117	0.99571
-116	0.99503
-115	0.99423
-114	0.99331
-113	0.99224
-112	0.991
-111	0.98957
-110	0.98791
-109	0.98599
-108	0.98377
-107	0.98121
-106	0.97825
-105	0.97483
-104	0.9709
-103	0.96637
-102	0.96117
-101	0.9552
-100	0.94836
-99	0.94054
-98	0.93163
-97	0.92148
-96	0.90998
-95	0.89699
-94	0.88236
-93	0.86596
-92	0.84767
-91	0.82738
-90	0.80501
-89	0.78051
-88	0.75388
-87	0.72515
-86	0.69443
-85	0.66187
-84	0.62771
-83	0.59222
-82	0.55574
-81	0.51865
-80	0.48135
-79	0.44426
-78	0.40778
-77	0.37229
-76	0.33813
-75	0.30557
-74	0.27485
-73	0.24612
-72	0.21949
-71	0.19499
-70	0.17262
-69	0.15233
-68	0.13404
-67	0.11764
-66	0.10301
-65	0.09002
-64	0.07852
-63	0.06837
-62	0.05946
-61	0.05164
-60	0.0448
-59	0.03883
-58	0.03363
-57	0.0291
-56	0.02517
-55	0.02175
-54	0.01879
-53	0.01623
-52	0.01401
-51	0.01209
-50	0.01043
-49	0.009
-48	0.00776
-47	0.00669
-46	0.00577
-45	0.00497
-44	0.00429
-43	0.0037
-42	0.00318
-41	0.00274
-40	0.00236
-39	0.00204
-38	0.00176
-37	0.00151
-36	0.0013
-35	0.00112
-34	9.67045E-4
-33	8.33076E-4
-32	7.17653E-4
-31	6.18213E-4
-30	5.32543E-4
-29	4.5874E-4
-28	3.95161E-4
-27	3.40391E-4
-26	2.9321E-4
-25	2.52567E-4
-24	2.17556E-4
-23	1.87398E-4
-22	1.61419E-4
-21	1.39042E-4
-20	1.19766E-4
